site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re
a,1,32,0,0,32,1402.1818181818182,0,7.2727272727272725,1482.1818181818182,1514.1818181818182,72.72727272727273,1274.5085294117648,0.048861104758707,0.048861104758707,0.443465408326975,0.036335221063849,0.149114184081554
a,2,28,0,0,28,1410,50,8,1630.5,1658.5,162.5,952.2190162271805,0.043960294260411,0.043960294260411,0.452723752879179,0.029585096726982,0.141076684748726
a,3,24,0,28,52,466.2857142857143,114.28571428571429,13.714285714285714,1168.5714285714284,1220.5714285714284,574.2857142857143,1501.576140973631,0.053986454354944,0.053986454354944,0.545517091508265,0.027259770615233,0.170073112183147
a,4,20,0,20,40,536.8421052631579,105.26315789473684,0,1042.1052631578948,1082.1052631578948,400,1311.132337728195,0.049427167573658,0.049427167573658,0.492700855662353,0.029324123064858,0.154949237286609
a,5,28,0,0,28,11142.857142857143,0,0,11828.57142857143,11856.57142857143,685.7142857142857,1545.524710953347,0.052270864102024,0.052270864102024,0.526034704733778,0.027249849435908,0.163750924170017
a,6,8,0,48,56,2154.285714285714,57.142857142857146,171.42857142857142,14140,14196,11757.142857142857,1325.7818610547668,0.053036165110959,0.053036165110959,0.541529615536827,0.026987077304028,0.169094233220354
a,7,4,0,12,16,1685.3333333333333,106.66666666666667,26.666666666666668,11712,11728,9893.333333333334,1948.3866024340775,0.049179964184539,0.049179964184539,0.445749411136487,0.034202181995197,0.154035738683236
a,8,0,0,0,0,241.875,12.5,6.25,438.75,438.75,178.125,1516.2256643002029,0.049617943558219,0.049617943558219,0.503245720189743,0.027808563762992,0.157975157923636
a,9,4,0,20,24,800,0,27.586206896551722,7189.655172413793,7213.655172413793,6362.068965517241,783.7494979716026,0.04744963407734,0.04744963407734,0.493309833381298,0.026300210852421,0.151762511798718
a,10,20,0,28,48,5160,85.71428571428571,342.85714285714283,8067.142857142857,8115.142857142857,2478.5714285714284,878.9713995943207,0.053034830974899,0.053034830974899,0.541752024666294,0.027474214114767002,0.16807340713211
